age,job,marital,education,default,housing,loan,duration,campaign,y
56,3,1,0,0,0,0,261,1,0
57,7,1,3,1,0,0,149,1,0
37,7,1,3,0,2,0,226,1,0
40,0,1,1,0,0,0,151,1,0
56,7,1,3,0,0,2,307,1,0
45,7,1,2,1,0,0,198,1,0
59,0,1,5,0,0,0,139,1,0
41,1,1,7,1,0,0,217,1,0
24,9,2,5,0,2,0,380,1,0
25,7,2,3,0,2,0,50,1,0
41,1,1,7,1,0,0,55,1,0
25,7,2,3,0,2,0,222,1,0
29,1,2,3,0,0,2,137,1,0
57,3,0,0,0,2,0,293,1,0
35,1,1,1,0,2,0,146,1,0
54,5,1,2,1,2,2,174,1,0
35,1,1,1,0,2,0,312,1,0
46,1,1,1,1,2,2,440,1,0
50,1,1,2,0,2,2,353,1,0
39,4,2,2,1,0,0,195,1,0
30,10,1,3,0,0,0,38,1,0
55,1,1,0,1,2,0,262,1,0
55,5,2,3,0,2,0,342,1,0
41,9,2,3,0,2,0,181,1,0
37,0,1,3,0,2,0,172,1,0
35,9,1,6,0,0,2,99,1,0
59,9,1,7,0,2,0,93,1,0
39,6,1,2,1,0,0,233,1,0
54,9,2,6,1,0,0,255,2,0
55,11,1,6,1,1,1,362,1,0
46,0,1,7,0,0,0,348,1,0
59,9,1,7,0,2,0,386,1,0
49,1,1,7,0,0,0,73,1,0
54,4,1,0,1,2,0,230,1,0
54,1,0,0,0,0,0,208,1,0
55,11,1,0,1,2,0,336,1,0
34,7,1,3,0,0,0,365,1,0
52,9,1,2,0,2,0,1666,1,0
41,0,1,6,0,2,0,577,1,0
56,9,1,0,0,2,0,137,1,0
58,4,3,6,0,2,0,366,1,0
32,2,1,3,0,2,0,314,1,0
38,0,2,5,0,0,0,160,1,0
57,0,1,6,0,0,2,212,1,0
44,0,1,6,1,2,0,188,1,0
42,9,2,5,1,0,0,22,1,0
57,0,1,6,0,2,2,616,1,0
40,1,1,2,0,0,2,178,1,0
35,0,1,6,0,2,0,355,1,0
45,1,1,2,0,2,0,225,2,0
54,0,1,3,0,0,0,160,1,0
39,3,1,0,0,0,2,266,1,0
60,0,1,3,0,0,0,253,1,0
53,0,2,5,0,0,0,179,1,0
55,1,1,0,1,0,0,269,2,0
55,9,1,5,1,2,0,135,1,0
50,4,1,6,1,0,2,161,1,0
45,7,1,3,1,2,0,787,1,0
55,10,1,5,1,2,2,145,1,0
25,9,2,6,0,2,0,174,1,0
47,2,1,6,1,0,0,449,1,0
51,1,1,2,0,2,0,812,1,0
42,1,1,1,1,2,0,164,1,0
42,1,1,1,1,0,0,366,1,0
48,0,1,3,0,0,0,357,1,0
37,0,1,6,0,0,0,232,1,0
44,1,2,2,0,2,0,91,1,0
33,0,1,7,0,2,0,273,1,0
56,0,1,2,0,2,0,158,2,0
44,1,2,0,1,2,2,177,1,0
41,4,1,1,0,0,0,200,1,0
