Part_ID,Parent_ID,Level,Depth,Maint_Echelon,FR_raw_input,FR_model_used,QPA,PM_failure_gamma,FLEET_SIZE,annual_FR_item_after_PM,annual_FR_system,annual_FR_demand,annual_FR,lambda_eff_system_annual,lambda_eff_demand_annual,lambda_eff_annual,lambda_system_2y,lambda_demand_2y,lambda_eff_2y,p_need_2y,baseline_wait_h,T_diag_h,T_repair_h,T_restore_h,ao_impact,shortage_exposure_h,mu_pipe_nom,stock_cap,is_long_lead,prebuy_flag,protection_flag,selected_manage,sO_best,sI_best,sD_best,total_stock_best,wait_per_failure_best,unit_proc_cost,critical_weight
RAD-L6-0016,RAD-L5-0014,6,6,O,0.10448,0.0009152448,1.0,0.014999983561661849,1.0,0.0009015161430451035,0.0009015161430451035,0.0009015161430451035,0.0009015161430451035,0.00013522742145676554,0.00013522742145676554,0.00013522742145676554,0.001803032286090207,0.001803032286090207,0.001803032286090207,0.0018014077998582678,4494.75,2.9800000000000004,8.916863466450998,6.206238332047857,6.952690455654417e-05,5993.0,9.251346310392646e-05,3,0,0,0,1,0,0,0,0,4494.75,228303.0,0.15
RAD-L6-0019,RAD-L5-0014,6,6,O,0.13874,0.0012153624,1.0,0.029999967123323697,1.0,0.0011789015679570761,0.0011789015679570761,0.0011789015679570761,0.0011789015679570761,0.0001768352351935614,0.0001768352351935614,0.0001768352351935614,0.0023578031359141522,0.0023578031359141522,0.0023578031359141522,0.0023550257014103293,3695.25,2.9800000000000004,5.356651288601328,5.110861105477418,7.4758122394465e-05,4927.0,9.94597264610362e-05,3,0,0,0,0,0,0,0,0,3695.25,300119.0,0.15
RAD-L6-0022,RAD-L5-0014,6,6,O,0.17868,0.0015652368,1.0,0.0075,1.0,0.0015534975240000001,0.0015534975240000001,0.0015534975240000001,0.0015534975240000001,0.0002330246286,0.0002330246286,0.0002330246286,0.0031069950480000002,0.0031069950480000002,0.0031069950480000002,0.003102173333859204,3760.5,2.9800000000000004,11.2666125,8.444460681249998,0.00010033690599971503,5014.0,0.00013337733879000002,3,0,0,0,0,0,0,0,0,3760.5,171940.0,0.15
RAD-L6-0026,RAD-L5-0023,6,6,O,0.11868,0.0010396368,1.0,0.0075,1.0,0.0010318395240000002,0.0010318395240000002,0.0010318395240000002,0.0010318395240000002,0.00015477592860000002,0.00015477592860000002,0.00015477592860000002,0.0020636790480000004,0.0020636790480000004,0.0020636790480000004,0.0020615511264274744,3801.0,2.9800000000000004,17.64481875,11.973984822499997,6.742212574152657e-05,5068.0,8.954388198000001e-05,3,0,0,0,0,0,0,0,0,3801.0,201411.0,0.15
RAD-L6-0028,RAD-L5-0023,6,6,O,0.18787,0.0016457412000000001,1.0,0.0075,1.0,0.0016333981410000002,0.0016333981410000002,0.0016333981410000002,0.0016333981410000002,0.00024500972115000004,0.00024500972115000004,0.00024500972115000004,0.0032667962820000004,0.0032667962820000004,0.0032667962820000004,0.003261466108802402,3764.25,2.9800000000000004,8.9388,5.91133524,0.00010553154182724785,5019.0,0.00014037714502875,3,0,0,0,0,0,0,0,0,3764.25,237101.0,0.15
RAD-L6-0029,RAD-L5-0023,6,6,O,0.17125,0.00150015,1.0,0.029999967123323697,1.0,0.001455145549319946,0.001455145549319946,0.001455145549319946,0.001455145549319946,0.0002182718323979919,0.0002182718323979919,0.0002182718323979919,0.002910291098639892,0.002910291098639892,0.002910291098639892,0.0029060603067743163,3512.25,2.9800000000000004,8.83447712523055,7.1383896405897085,8.77664158433351e-05,4683.0,0.00011668572957988541,3,0,0,0,0,0,0,0,0,3512.25,258817.0,0.15
RAD-L6-0031,RAD-L5-0023,6,6,O,0.09331,0.0008173956,1.0,0.0075,1.0,0.000811265133,0.000811265133,0.000811265133,0.000811265133,0.00012168976995,0.00012168976995,0.00012168976995,0.001622530266,0.001622530266,0.001622530266,0.0016212146753926682,6269.25,2.9800000000000004,13.17541875,9.922565279375,8.726868726708327e-05,8359.0,0.00011611926792375,2,1,1,0,0,0,0,0,0,6269.25,266425.0,0.15
RAD-L6-0038,RAD-L5-0032,6,6,O,0.1056,0.0009250560000000001,1.0,0.0075,1.0,0.0009181180800000001,0.0009181180800000001,0.0009181180800000001,0.0009181180800000001,0.000137717712,0.000137717712,0.000137717712,0.0018362361600000002,0.0018362361600000002,0.0018362361600000002,0.0018345513098010358,4854.0,2.9800000000000004,9.963037499999999,7.3847224324999985,7.647365067430583e-05,6472.0,0.0001017476064,3,0,0,0,0,0,0,0,0,4854.0,278861.0,0.15
RAD-L6-0044,RAD-L5-0041,6,6,O,0.18015,0.001578114,1.0,0.014999983561661849,1.0,0.0015544423159415716,0.0015544423159415716,0.0015544423159415716,0.0015544423159415716,0.00023316634739123572,0.00023316634739123572,0.00023316634739123572,0.003108884631883143,0.003108884631883143,0.003108884631883143,0.003104057054145848,5939.25,2.9800000000000004,13.441838956888816,11.277855680340076,0.00015846548868424806,7919.0,0.0002107813133551593,2,1,1,1,0,0,0,0,0,5939.25,301230.0,0.15
RAD-L6-0045,RAD-L5-0041,6,6,O,0.13005,0.001139238,1.0,0.014999983561661849,1.0,0.0011221494487271796,0.0011221494487271796,0.0011221494487271796,0.0011221494487271796,0.00016832241730907693,0.00016832241730907693,0.00016832241730907693,0.002244298897454359,0.002244298897454359,0.002244298897454359,0.002241782341670273,4378.5,2.9800000000000004,12.953851403998463,9.684446558107881,8.437573224273238e-05,5838.0,0.00011217651509707661,3,0,0,0,0,0,0,0,0,4378.5,194998.0,0.15
